,Unnamed: 0,id,A Symbol,B Symbol,A UniProt,B UniProt,DB Source
0,0,RIPK1,RIPK1,TNFAIP3,Q13546,P21580,BIOGRID
1,1,RIPK1,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
2,2,RIPK1,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
3,3,RIPK1,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
4,4,RIPK1,RIPK1,TNFAIP3,Q13546,P21580,BIOGRID
5,5,RIPK1,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
6,6,TNFAIP3,RIPK1,TNFAIP3,Q13546,P21580,BIOGRID
7,7,TNFAIP3,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
8,8,TNFAIP3,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
9,9,TNFAIP3,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
10,10,TNFAIP3,RIPK1,TNFAIP3,Q13546,P21580,BIOGRID
11,11,TNFAIP3,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
12,12,RIPK1,RIPK1,TNFAIP3,Q13546,P21580,BIOGRID
13,13,RIPK1,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
14,14,RIPK1,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
15,15,RIPK1,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
16,16,RIPK1,RIPK1,TNFAIP3,Q13546,P21580,BIOGRID
17,17,RIPK1,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
18,18,TNFAIP3,RIPK1,TNFAIP3,Q13546,P21580,BIOGRID
19,19,TNFAIP3,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
20,20,TNFAIP3,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
21,21,TNFAIP3,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
22,22,TNFAIP3,RIPK1,TNFAIP3,Q13546,P21580,BIOGRID
23,23,TNFAIP3,TNFAIP3,RIPK1,P21580,Q13546,BIOGRID
