,UniProt1,UniProt2,symbol1,symbol2,evidence type
249,O60602,Q13568,TLR5,IRF5,pred
324,O60602,P11215,TLR5,ITGAM,pred
723,P02741,P31994,CRP,FCGR2B,exp;pred
749,P02741,P02741,CRP,CRP,exp
760,P02741,P0C0L4,CRP,C4A,pred
1136,P0C0L4,P20023,C4A,CR2,pred
1352,P11215,P16410,ITGAM,CTLA4,pred
1374,P11215,P31994,ITGAM,FCGR2B,pred
1536,P11215,P20023,ITGAM,CR2,pred
1725,P16410,P16410,CTLA4,CTLA4,exp;ortho
1834,P19878,P19878,NCF2,NCF2,pred
1835,P19878,Q13546,NCF2,RIPK1,pred
2031,P20023,P20023,CR2,CR2,exp
2154,P21580,Q13568,TNFAIP3,IRF5,pred
2161,P21580,Q13546,TNFAIP3,RIPK1,exp;ortho;pred
2330,P21580,P21580,TNFAIP3,TNFAIP3,exp;ortho
2403,P23510,P23510,TNFSF4,TNFSF4,ortho
2451,P24855,Q13609,DNASE1,DNASE1L3,pred
3459,Q13546,Q13546,RIPK1,RIPK1,exp
3464,Q13568,Q13568,IRF5,IRF5,exp
3465,Q13568,Q14765,IRF5,STAT4,pred
3532,Q14765,Q14765,STAT4,STAT4,exp;ortho
3654,Q9NSU2,Q9NSU2,TREX1,TREX1,pred
3666,Q9Y2R2,Q9Y2R2,PTPN22,PTPN22,exp
