'sample interval','T8..'
'0.00625 sec','uV'
9600,-41.000
9601,-40.000
9602,-37.000
9603,-48.000
9604,-50.000
9605,-52.000
9606,-49.000
9607,-39.000
9608,-38.000
9609,-33.000
9610,-45.000
9611,-24.000
9612,-17.000
9613,-5.000
9614,3.000
9615,3.000
9616,6.000
9617,-6.000
9618,-8.000
9619,-21.000
9620,18.000
9621,59.000
9622,89.000
9623,101.000
9624,74.000
9625,43.000
9626,21.000
9627,23.000
9628,7.000
9629,11.000
9630,6.000
9631,10.000
9632,0.000
9633,0.000
9634,0.000
9635,0.000
9636,0.000
9637,0.000
9638,0.000
9639,0.000
9640,0.000
9641,0.000
9642,0.000
9643,0.000
9644,0.000
9645,0.000
9646,0.000
9647,0.000
9648,0.000
9649,0.000
9650,0.000
9651,0.000
9652,0.000
9653,0.000
9654,0.000
9655,0.000
9656,0.000
9657,0.000
9658,0.000
9659,0.000
9660,0.000
9661,0.000
9662,0.000
9663,0.000
9664,0.000
9665,0.000
9666,0.000
9667,0.000
9668,0.000
9669,0.000
9670,0.000
9671,0.000
9672,0.000
9673,0.000
9674,0.000
9675,0.000
9676,0.000
9677,0.000
9678,0.000
9679,0.000
9680,0.000
9681,0.000
9682,0.000
9683,0.000
9684,0.000
9685,0.000
9686,0.000
9687,0.000
9688,0.000
9689,0.000
9690,0.000
9691,0.000
9692,0.000
9693,0.000
9694,0.000
9695,0.000
9696,0.000
9697,0.000
9698,0.000
9699,0.000
9700,0.000
9701,0.000
9702,0.000
9703,0.000
9704,0.000
9705,0.000
9706,0.000
9707,0.000
9708,0.000
9709,0.000
9710,0.000
9711,0.000
9712,0.000
9713,0.000
9714,0.000
9715,0.000
9716,0.000
9717,0.000
9718,0.000
9719,0.000
9720,0.000
9721,0.000
9722,0.000
9723,0.000
9724,0.000
9725,0.000
9726,0.000
9727,0.000
9728,0.000
9729,0.000
9730,0.000
9731,0.000
9732,0.000
9733,0.000
9734,0.000
9735,0.000
9736,0.000
9737,0.000
9738,0.000
9739,0.000
9740,0.000
9741,0.000
9742,0.000
9743,0.000
9744,0.000
9745,0.000
9746,0.000
9747,0.000
9748,0.000
9749,0.000
9750,0.000
9751,0.000
9752,0.000
9753,0.000
9754,0.000
9755,0.000
9756,0.000
9757,0.000
9758,0.000
9759,0.000
