,Clustering Algo.,Module ID,No. seed genes,No. genes,p-value
0,Markov,0,4,70,0.03885004330326896
1,Markov,0,4,70,0.03885004330326896
2,Markov,0,4,70,0.03885004330326896
3,Markov,1,4,24,0.03885004330326896
4,Markov,0,4,70,0.03885004330326896
5,Markov,0,4,70,0.03885004330326896
6,Markov,0,4,70,0.03885004330326896
7,Markov,1,4,24,0.03885004330326896
8,Markov,2,4,16,0.03885004330326896
9,Markov,0,4,70,0.03885004330326896
10,Markov,0,4,70,0.03885004330326896
11,Markov,0,4,70,0.03885004330326896
12,Markov,2,4,16,0.03885004330326896
13,Markov,0,4,70,0.03885004330326896
14,Markov,3,4,8,0.03885004330326896
15,Markov,0,4,70,0.03885004330326896
16,Markov,1,4,24,0.03885004330326896
17,Markov,2,4,16,0.03885004330326896
18,Markov,0,4,70,0.03885004330326896
19,Markov,0,4,70,0.03885004330326896
20,Markov,0,4,70,0.03885004330326896
21,Markov,2,4,16,0.03885004330326896
22,Markov,0,4,70,0.03885004330326896
23,Markov,1,4,24,0.03885004330326896
24,Markov,0,4,70,0.03885004330326896
25,Markov,0,4,70,0.03885004330326896
26,Markov,0,4,70,0.03885004330326896
27,Markov,0,4,70,0.03885004330326896
28,Markov,2,4,16,0.03885004330326896
29,Markov,1,4,24,0.03885004330326896
30,Markov,0,4,70,0.03885004330326896
31,Markov,0,4,70,0.03885004330326896
32,Markov,1,4,24,0.03885004330326896
33,Markov,0,4,70,0.03885004330326896
34,Markov,2,4,16,0.03885004330326896
35,Markov,3,4,8,0.03885004330326896
36,Markov,1,4,24,0.03885004330326896
37,Markov,0,4,70,0.03885004330326896
38,Markov,3,4,8,0.03885004330326896
39,Markov,0,4,70,0.03885004330326896
40,Markov,1,4,24,0.03885004330326896
41,Markov,0,4,70,0.03885004330326896
42,Markov,0,4,70,0.03885004330326896
43,Markov,0,4,70,0.03885004330326896
44,Markov,3,4,8,0.03885004330326896
45,Markov,0,4,70,0.03885004330326896
46,Markov,0,4,70,0.03885004330326896
47,Markov,1,4,24,0.03885004330326896
48,Markov,0,4,70,0.03885004330326896
49,Markov,0,4,70,0.03885004330326896
50,Markov,0,4,70,0.03885004330326896
51,Markov,2,4,16,0.03885004330326896
52,Markov,0,4,70,0.03885004330326896
53,Markov,1,4,24,0.03885004330326896
54,Markov,0,4,70,0.03885004330326896
55,Markov,0,4,70,0.03885004330326896
56,Markov,3,4,8,0.03885004330326896
57,Markov,0,4,70,0.03885004330326896
58,Markov,0,4,70,0.03885004330326896
59,Markov,0,4,70,0.03885004330326896
60,Markov,0,4,70,0.03885004330326896
61,Markov,0,4,70,0.03885004330326896
62,Markov,0,4,70,0.03885004330326896
63,Markov,2,4,16,0.03885004330326896
64,Markov,1,4,24,0.03885004330326896
65,Markov,0,4,70,0.03885004330326896
66,Markov,1,4,24,0.03885004330326896
67,Markov,0,4,70,0.03885004330326896
68,Markov,3,4,8,0.03885004330326896
69,Markov,1,4,24,0.03885004330326896
70,Markov,0,4,70,0.03885004330326896
71,Markov,0,4,70,0.03885004330326896
72,Markov,0,4,70,0.03885004330326896
73,Markov,0,4,70,0.03885004330326896
74,Markov,1,4,24,0.03885004330326896
75,Markov,2,4,16,0.03885004330326896
76,Markov,0,4,70,0.03885004330326896
77,Markov,0,4,70,0.03885004330326896
78,Markov,0,4,70,0.03885004330326896
79,Markov,1,4,24,0.03885004330326896
80,Markov,0,4,70,0.03885004330326896
81,Markov,1,4,24,0.03885004330326896
82,Markov,1,4,24,0.03885004330326896
83,Markov,0,4,70,0.03885004330326896
84,Markov,1,4,24,0.03885004330326896
85,Markov,0,4,70,0.03885004330326896
86,Markov,2,4,16,0.03885004330326896
87,Markov,1,4,24,0.03885004330326896
88,Markov,0,4,70,0.03885004330326896
89,Markov,2,4,16,0.03885004330326896
90,Markov,2,4,16,0.03885004330326896
91,Markov,0,4,70,0.03885004330326896
92,Markov,0,4,70,0.03885004330326896
93,Markov,0,4,70,0.03885004330326896
94,Markov,0,4,70,0.03885004330326896
95,Markov,0,4,70,0.03885004330326896
96,Markov,2,4,16,0.03885004330326896
97,Markov,2,4,16,0.03885004330326896
98,Markov,0,4,70,0.03885004330326896
99,Markov,0,4,70,0.03885004330326896
100,Markov,2,4,16,0.03885004330326896
101,Markov,0,4,70,0.03885004330326896
102,Markov,1,4,24,0.03885004330326896
103,Markov,0,4,70,0.03885004330326896
104,Markov,2,4,16,0.03885004330326896
105,Markov,1,4,24,0.03885004330326896
106,Markov,0,4,70,0.03885004330326896
107,Markov,1,4,24,0.03885004330326896
108,Markov,0,4,70,0.03885004330326896
109,Markov,1,4,24,0.03885004330326896
110,Markov,3,4,8,0.03885004330326896
111,Markov,3,4,8,0.03885004330326896
112,Markov,0,4,70,0.03885004330326896
113,Markov,0,4,70,0.03885004330326896
114,Markov,0,4,70,0.03885004330326896
115,Markov,0,4,70,0.03885004330326896
116,Markov,1,4,24,0.03885004330326896
117,Markov,0,4,70,0.03885004330326896
